case_no	review_concept_key	semantic_kind	source_keys	source_names	source_paths	blocker_type	review_scope	immediate_parent_keys	immediate_parent_names	excluded_parent_reason	source_root_keys	source_root_names	nearest_candidate_ancestor_count	nearest_candidate_ancestor_keys	nearest_candidate_ancestor_names	nearest_candidate_ancestor_distance	evidence_classification	parent_family_id	mechanical_parent_candidate	mechanical_parent_candidate_name	mechanical_rule_status	raw_label_variants	label_variant_analysis	evidence_refs	external_evidence_required	gpt_decision	gpt_parent_candidate	gpt_label_candidate	owner_approval_state
11	2a16ffd74a0b9293c8cb8525c8541550a2648d39748806d09ded8308b50594c7	PROCESS	0115	품질관리	공사일반사항및공사비 > 공사일반사항 > 품질관리	PARENT	ACTIVE_GPT_REVIEW	011	공사일반사항	REFERENCE_ONLY:ORIGINAL_REJECT	01	공사일반사항및공사비	0	EMPTY	EMPTY	EMPTY	EXCLUDED_PARENT_AND_ROOT	F-011	EMPTY	EMPTY	GPT_REQUIRED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
12	1828313c4385bdc9e07ad785dfebebadb97bd1cfabeadeaca85452d84fdbbf0c	TASK	0116	공사회의	공사일반사항및공사비 > 공사일반사항 > 공사회의	PARENT	ACTIVE_GPT_REVIEW	011	공사일반사항	REFERENCE_ONLY:ORIGINAL_REJECT	01	공사일반사항및공사비	0	EMPTY	EMPTY	EMPTY	EXCLUDED_PARENT_AND_ROOT	F-011	EMPTY	EMPTY	GPT_REQUIRED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
13	086cb7669fde42d8cb3ead1004aab5073c384f43c946be95d4066abffb8e0ff9	PROCESS	0117	공사관리	공사일반사항및공사비 > 공사일반사항 > 공사관리	PARENT	ACTIVE_GPT_REVIEW	011	공사일반사항	REFERENCE_ONLY:ORIGINAL_REJECT	01	공사일반사항및공사비	0	EMPTY	EMPTY	EMPTY	EXCLUDED_PARENT_AND_ROOT	F-011	EMPTY	EMPTY	GPT_REQUIRED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
14	708f590c9f35d785d6315ee7e29238697d00dd707c7dcda6060e2e370223b385	TASK	0118	시운전	공사일반사항및공사비 > 공사일반사항 > 시운전	PARENT	ACTIVE_GPT_REVIEW	011	공사일반사항	REFERENCE_ONLY:ORIGINAL_REJECT	01	공사일반사항및공사비	0	EMPTY	EMPTY	EMPTY	EXCLUDED_PARENT_AND_ROOT	F-011	EMPTY	EMPTY	GPT_REQUIRED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
15	e53153c5f2d624a42c97eec1ac937ceb3194bc799905a8e083045a94cb260c15	PROCESS	0119	준공및하자보수	공사일반사항및공사비 > 공사일반사항 > 준공및하자보수	PARENT	ACTIVE_GPT_REVIEW	011	공사일반사항	REFERENCE_ONLY:ORIGINAL_REJECT	01	공사일반사항및공사비	0	EMPTY	EMPTY	EMPTY	EXCLUDED_PARENT_AND_ROOT	F-011	EMPTY	EMPTY	GPT_REQUIRED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
16	f0f16c06ab4cb90d25d4fe89308cc6c166adb5d47278506dbaf906f92a58573e	TASK	2512	골재채취 생산	철근콘크리트공사 > 콘크리트자재 > 골재채취 생산	PARENT	ACTIVE_GPT_REVIEW	251	콘크리트자재	REFERENCE_ONLY:ORIGINAL_REJECT	25	철근콘크리트공사	1	13f01c1ad0d027cd2397d07a0e9eafb5222e1bbae9c0855e76a6ca66d279e062	철근콘크리트공사	2	SINGLE_NEAREST_CANDIDATE_ANCESTOR	F-251	13f01c1ad0d027cd2397d07a0e9eafb5222e1bbae9c0855e76a6ca66d279e062	철근콘크리트공사	SINGLE_ANCESTOR_DERIVED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
17	512d3906fcf9a0079a12b908c439663d6703b7d06a660b8da1218d18275559b2	TASK	3157	여과설비설치	토목배관공사및배수공사 > 토목배관부속설비 > 여과설비설치	PARENT	ACTIVE_GPT_REVIEW	315	토목배관부속설비	REFERENCE_ONLY:ORIGINAL_REJECT	31	토목배관공사및배수공사	1	b15cd2beb1d4901b6d710f491abe2a583003fdfe5fe6d98842ce0257c9159552	토목배관공사및배수공사	2	SINGLE_NEAREST_CANDIDATE_ANCESTOR	F-315	b15cd2beb1d4901b6d710f491abe2a583003fdfe5fe6d98842ce0257c9159552	토목배관공사및배수공사	SINGLE_ANCESTOR_DERIVED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
18	ef467a3e5fbf9bfabb1bb2275399ad3d5ed56372428997b0f7d746266158e69b	TASK	3712	휠터재료축조	댐공사 > 휠댐(제방) > 휠터재료축조	PARENT	ACTIVE_GPT_REVIEW	371	휠댐(제방)	REFERENCE_ONLY:ORIGINAL_REJECT	37	댐공사	1	da54d4926aa79473fa6f89610338b0297765d601166ceb67ac95ba973da49bf0	댐공사	2	SINGLE_NEAREST_CANDIDATE_ANCESTOR	F-371	da54d4926aa79473fa6f89610338b0297765d601166ceb67ac95ba973da49bf0	댐공사	SINGLE_ANCESTOR_DERIVED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
19	e4bb13e2e59d60b4434332a68193eba5e027152d0c13595c4ca2514f748f50e5	TASK	3713	사력재료축조	댐공사 > 휠댐(제방) > 사력재료축조	PARENT	ACTIVE_GPT_REVIEW	371	휠댐(제방)	REFERENCE_ONLY:ORIGINAL_REJECT	37	댐공사	1	da54d4926aa79473fa6f89610338b0297765d601166ceb67ac95ba973da49bf0	댐공사	2	SINGLE_NEAREST_CANDIDATE_ANCESTOR	F-371	da54d4926aa79473fa6f89610338b0297765d601166ceb67ac95ba973da49bf0	댐공사	SINGLE_ANCESTOR_DERIVED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
20	a20f051dae1cbf038a0939447b9d4f7508662cd0fbfe028db1c9208aca35e4f7	TASK	3714	암석재료축조	댐공사 > 휠댐(제방) > 암석재료축조	PARENT	ACTIVE_GPT_REVIEW	371	휠댐(제방)	REFERENCE_ONLY:ORIGINAL_REJECT	37	댐공사	1	da54d4926aa79473fa6f89610338b0297765d601166ceb67ac95ba973da49bf0	댐공사	2	SINGLE_NEAREST_CANDIDATE_ANCESTOR	F-371	da54d4926aa79473fa6f89610338b0297765d601166ceb67ac95ba973da49bf0	댐공사	SINGLE_ANCESTOR_DERIVED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
21	fd98cd55706d3e5c006fe7f8b6e705649fdee425f66e36383a54d39a8fce5fcf	TASK	3715	랜덤재료축조	댐공사 > 휠댐(제방) > 랜덤재료축조	PARENT	ACTIVE_GPT_REVIEW	371	휠댐(제방)	REFERENCE_ONLY:ORIGINAL_REJECT	37	댐공사	1	da54d4926aa79473fa6f89610338b0297765d601166ceb67ac95ba973da49bf0	댐공사	2	SINGLE_NEAREST_CANDIDATE_ANCESTOR	F-371	da54d4926aa79473fa6f89610338b0297765d601166ceb67ac95ba973da49bf0	댐공사	SINGLE_ANCESTOR_DERIVED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
22	a630c5d19464d9db0acd3e5b3cab8465fe8990f4d36be03653fc000e17206066	TASK	3827	석축쌓기	옹벽공사 > 조적식옹벽 > 석축쌓기	PARENT	ACTIVE_GPT_REVIEW	382	조적식옹벽	REFERENCE_ONLY:ORIGINAL_REJECT	38	옹벽공사	1	bc68572923c8910b9b34b63d85b18ecc876df84b7e42beb1fe2750242dca64f0	옹벽공사	2	SINGLE_NEAREST_CANDIDATE_ANCESTOR	F-382	bc68572923c8910b9b34b63d85b18ecc876df84b7e42beb1fe2750242dca64f0	옹벽공사	SINGLE_ANCESTOR_DERIVED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
23	6aeb0c0085624f5039e903e5cbfb5b103d4201624bf3e1428eb003241778d893	TASK	4151	유리블록쌓기	조적공사 > 유리블록 > 유리블록쌓기	PARENT	ACTIVE_GPT_REVIEW	415	유리블록	REFERENCE_ONLY:ORIGINAL_REJECT	41	조적공사	1	33f1ddfc015d1a5a3173d5aa56062b9af98458c2e93edc02b239d897ef4ba8d7	조적공사	2	SINGLE_NEAREST_CANDIDATE_ANCESTOR	F-415	33f1ddfc015d1a5a3173d5aa56062b9af98458c2e93edc02b239d897ef4ba8d7	조적공사	SINGLE_ANCESTOR_DERIVED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
24	a27352b5d662e6d1048eeecae66e47f5a993d2674b6fb0789eec4c268f846268	TASK	4152	유리블록판넬설치	조적공사 > 유리블록 > 유리블록판넬설치	PARENT	ACTIVE_GPT_REVIEW	415	유리블록	REFERENCE_ONLY:ORIGINAL_REJECT	41	조적공사	1	33f1ddfc015d1a5a3173d5aa56062b9af98458c2e93edc02b239d897ef4ba8d7	조적공사	2	SINGLE_NEAREST_CANDIDATE_ANCESTOR	F-415	33f1ddfc015d1a5a3173d5aa56062b9af98458c2e93edc02b239d897ef4ba8d7	조적공사	SINGLE_ANCESTOR_DERIVED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
25	547f6c3944eefedd97dfa5c18e9128c819c354b470395ca0ff4d247283db372d	TASK	5131	회반죽미장	미장공사 > 플라스터 > 회반죽미장	PARENT	ACTIVE_GPT_REVIEW	513	플라스터	REFERENCE_ONLY:ORIGINAL_REJECT	51	미장공사	1	f8f8f8c0ded720ede952c131be6396329a82ad7f1995efa930cff437b5ed9ffa	미장공사	2	SINGLE_NEAREST_CANDIDATE_ANCESTOR	F-513	f8f8f8c0ded720ede952c131be6396329a82ad7f1995efa930cff437b5ed9ffa	미장공사	SINGLE_ANCESTOR_DERIVED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
26	f043ecd7b1058a7909717535be66af98f91a496c01eff626b3aa3bac07ff7e89	TASK	5132	회사미장	미장공사 > 플라스터 > 회사미장	PARENT	ACTIVE_GPT_REVIEW	513	플라스터	REFERENCE_ONLY:ORIGINAL_REJECT	51	미장공사	1	f8f8f8c0ded720ede952c131be6396329a82ad7f1995efa930cff437b5ed9ffa	미장공사	2	SINGLE_NEAREST_CANDIDATE_ANCESTOR	F-513	f8f8f8c0ded720ede952c131be6396329a82ad7f1995efa930cff437b5ed9ffa	미장공사	SINGLE_ANCESTOR_DERIVED	EMPTY	EMPTY	REVIEW-011 member hierarchy | REVIEW-016 blocker queue	NO	PENDING	EMPTY	EMPTY	NOT_APPROVED
