source_review_stage	source_review_no	source_key	seed_proposal_key	name	hierarchy_level	source_path	root_name	root_source_key	parent_name	parent_source_key	semantic_kind	semantic_review_decision	existing_reason	sibling_count	sibling_names	reviewed_sibling_count	reviewed_sibling_refs	reviewed_sibling_semantic_kinds	reviewed_sibling_decisions	exact_raw_name_peer_count	exact_raw_name_peer_refs	exact_raw_name_peer_paths	gpt_hold_resolution	gpt_resolved_semantic_kind	gpt_resolved_review_decision	gpt_hold_reason
BATCH001	80	1844	3ac0772b231b17dafe1ea899b70772ad89dabb608d0c3a261a697c19868fda6a	PVC관제거	W_LEAF	철거해체공사및시설물보호 > 지하지장물철거 해체 > PVC관제거	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	0	NOT_AVAILABLE	0	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
BATCH001	82	3716	5d973d4bd3610d1d8e89b683eaec3d91219ad8176d08d595467a0490a8fb9d3d	Riprap재료축조	W_LEAF	댐공사 > 휠댐(제방) > Riprap재료축조	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	0	NOT_AVAILABLE	0	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
BATCH001	83	1234	0b9f05fd2c7861efb37e5a9d4aedc2360712edb9a0651d2bc85b5b79820c9cff	RockBolt축력및인발측정	W_LEAF	계측 > 터널공사계측 > RockBolt축력및인발측정	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	1	Shotcrete응력측정	1	1235:Shotcrete응력측정:AMBIGUOUS:HOLD	AMBIGUOUS	HOLD	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
BATCH001	84	2255	b71d60da07ee37da0d6b953c5ce1ed656e9d1a6e352cd2f8bdfb967f5e241881	SCP(SandCompactionPile)	W_LEAF	지반개량및지반보강공사 > 다짐공법 > SCP(SandCompactionPile)	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	1	GCP(GravelCompactionPile)	1	2256:GCP(GravelCompactionPile):AMBIGUOUS:HOLD	AMBIGUOUS	HOLD	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
BATCH001	88	1235	efc89b38828e07459f9b0d0c218c397a1fa34886b1aadd2949c75c139881b370	Shotcrete응력측정	W_LEAF	계측 > 터널공사계측 > Shotcrete응력측정	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	1	RockBolt축력및인발측정	1	1234:RockBolt축력및인발측정:AMBIGUOUS:HOLD	AMBIGUOUS	HOLD	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
BATCH001	93	5425	a3494d10c2e014eb537f40c2047c6fc42f04dcaf0747c1e7fb5a21f8f6ed2491	UBR(UnitBathRoom)설치	W_LEAF	수장공사 > 칸막이공사 > UBR(UnitBathRoom)설치	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	AMBIGUOUS	HOLD	GPT_REVIEW_HOLD_KIND_UNRESOLVED	0	NOT_AVAILABLE	0	NOT_AVAILABLE	NOT_AVAILABLE	NOT_AVAILABLE	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
BATCH002	355	3611	d57ce35223451452edbf6269a44b856a5e8d6ee2cc63e10e2fe07c0b21d9bf24	연질토사(N=	W_LEAF	하천및항만공사 > 준설 > 연질토사(N=	하천및항만공사	36	준설	361	AMBIGUOUS	HOLD	GPT_BATCH002_HOLD_AMBIGUOUS	8	중질토사(N= | 경질토사(N= | 최경질토사(N= | 자갈석인연질토사(N= | 자갈석인경질토(N= | 연암준설 | 경암준설 | 오니(오염토 오염퇴적물)준설	8	3612:중질토사(N=:AMBIGUOUS:HOLD | 3613:경질토사(N=:AMBIGUOUS:HOLD | 3614:최경질토사(N=:AMBIGUOUS:HOLD | 3615:자갈석인연질토사(N=:AMBIGUOUS:HOLD | 3616:자갈석인경질토(N=:AMBIGUOUS:HOLD | 3617:연암준설:TASK:KEEP_AS_DISTINCT | 3618:경암준설:TASK:KEEP_AS_DISTINCT | 3619:오니(오염토 오염퇴적물)준설:TASK:KEEP_AS_DISTINCT	AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | TASK | TASK | TASK	HOLD | HOLD | HOLD | HOLD | HOLD | KEEP_AS_DISTINCT | KEEP_AS_DISTINCT | KEEP_AS_DISTINCT	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
LEAF_004B	1057	2661	81d15e079cde5a0d846524eb47afc524fe5808fa565f5ec17ca001989cc547a2	저층(	W_LEAF	프리케스트콘크리트공사 > 건축PC구조부재조립 > 저층(	프리케스트콘크리트공사	26	건축PC구조부재조립	266	AMBIGUOUS	HOLD	GPT_004B_HOLD_AMBIGUOUS	2	중층( | 고층(	2	2662:중층(:AMBIGUOUS:HOLD | 2663:고층(:AMBIGUOUS:HOLD	AMBIGUOUS | AMBIGUOUS	HOLD | HOLD	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
LEAF_004B	1058	2662	a5a24e7fea02ec1bb601bcb46557f6ce1c4c310c4eb29038ea090d559e111ae4	중층(	W_LEAF	프리케스트콘크리트공사 > 건축PC구조부재조립 > 중층(	프리케스트콘크리트공사	26	건축PC구조부재조립	266	AMBIGUOUS	HOLD	GPT_004B_HOLD_AMBIGUOUS	2	저층( | 고층(	2	2661:저층(:AMBIGUOUS:HOLD | 2663:고층(:AMBIGUOUS:HOLD	AMBIGUOUS | AMBIGUOUS	HOLD | HOLD	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
LEAF_004B	1059	2663	39984ec658118e69b1cd187ccc6b360cb19034955695b57049bd6e1aa925f5b4	고층(	W_LEAF	프리케스트콘크리트공사 > 건축PC구조부재조립 > 고층(	프리케스트콘크리트공사	26	건축PC구조부재조립	266	AMBIGUOUS	HOLD	GPT_004B_HOLD_AMBIGUOUS	2	저층( | 중층(	2	2661:저층(:AMBIGUOUS:HOLD | 2662:중층(:AMBIGUOUS:HOLD	AMBIGUOUS | AMBIGUOUS	HOLD | HOLD	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
LEAF_004C	1205	3612	99b9161d5b49b1c81ebd525bc7bd3bbf47260cbbc12f0a1c46b0f55f22bf826e	중질토사(N=	W_LEAF	하천및항만공사 > 준설 > 중질토사(N=	하천및항만공사	36	준설	361	AMBIGUOUS	HOLD	GPT_004C_HOLD_AMBIGUOUS	8	연질토사(N= | 경질토사(N= | 최경질토사(N= | 자갈석인연질토사(N= | 자갈석인경질토(N= | 연암준설 | 경암준설 | 오니(오염토 오염퇴적물)준설	8	3611:연질토사(N=:AMBIGUOUS:HOLD | 3613:경질토사(N=:AMBIGUOUS:HOLD | 3614:최경질토사(N=:AMBIGUOUS:HOLD | 3615:자갈석인연질토사(N=:AMBIGUOUS:HOLD | 3616:자갈석인경질토(N=:AMBIGUOUS:HOLD | 3617:연암준설:TASK:KEEP_AS_DISTINCT | 3618:경암준설:TASK:KEEP_AS_DISTINCT | 3619:오니(오염토 오염퇴적물)준설:TASK:KEEP_AS_DISTINCT	AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | TASK | TASK | TASK	HOLD | HOLD | HOLD | HOLD | HOLD | KEEP_AS_DISTINCT | KEEP_AS_DISTINCT | KEEP_AS_DISTINCT	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
LEAF_004C	1206	3613	c5f3fa842907c6d1134bf288eeec4b28d02829f55005c0389e97789df0dcb620	경질토사(N=	W_LEAF	하천및항만공사 > 준설 > 경질토사(N=	하천및항만공사	36	준설	361	AMBIGUOUS	HOLD	GPT_004C_HOLD_AMBIGUOUS	8	연질토사(N= | 중질토사(N= | 최경질토사(N= | 자갈석인연질토사(N= | 자갈석인경질토(N= | 연암준설 | 경암준설 | 오니(오염토 오염퇴적물)준설	8	3611:연질토사(N=:AMBIGUOUS:HOLD | 3612:중질토사(N=:AMBIGUOUS:HOLD | 3614:최경질토사(N=:AMBIGUOUS:HOLD | 3615:자갈석인연질토사(N=:AMBIGUOUS:HOLD | 3616:자갈석인경질토(N=:AMBIGUOUS:HOLD | 3617:연암준설:TASK:KEEP_AS_DISTINCT | 3618:경암준설:TASK:KEEP_AS_DISTINCT | 3619:오니(오염토 오염퇴적물)준설:TASK:KEEP_AS_DISTINCT	AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | TASK | TASK | TASK	HOLD | HOLD | HOLD | HOLD | HOLD | KEEP_AS_DISTINCT | KEEP_AS_DISTINCT | KEEP_AS_DISTINCT	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
LEAF_004C	1207	3614	239dafdebbc9cd4043da1e332a49696941c6e2d434a3e588555c100c8b442655	최경질토사(N=	W_LEAF	하천및항만공사 > 준설 > 최경질토사(N=	하천및항만공사	36	준설	361	AMBIGUOUS	HOLD	GPT_004C_HOLD_AMBIGUOUS	8	연질토사(N= | 중질토사(N= | 경질토사(N= | 자갈석인연질토사(N= | 자갈석인경질토(N= | 연암준설 | 경암준설 | 오니(오염토 오염퇴적물)준설	8	3611:연질토사(N=:AMBIGUOUS:HOLD | 3612:중질토사(N=:AMBIGUOUS:HOLD | 3613:경질토사(N=:AMBIGUOUS:HOLD | 3615:자갈석인연질토사(N=:AMBIGUOUS:HOLD | 3616:자갈석인경질토(N=:AMBIGUOUS:HOLD | 3617:연암준설:TASK:KEEP_AS_DISTINCT | 3618:경암준설:TASK:KEEP_AS_DISTINCT | 3619:오니(오염토 오염퇴적물)준설:TASK:KEEP_AS_DISTINCT	AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | TASK | TASK | TASK	HOLD | HOLD | HOLD | HOLD | HOLD | KEEP_AS_DISTINCT | KEEP_AS_DISTINCT | KEEP_AS_DISTINCT	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
LEAF_004C	1208	3615	357045e5dbdab33934142c2da5caed89348ae0a152b730bdc8f826155db92888	자갈석인연질토사(N=	W_LEAF	하천및항만공사 > 준설 > 자갈석인연질토사(N=	하천및항만공사	36	준설	361	AMBIGUOUS	HOLD	GPT_004C_HOLD_AMBIGUOUS	8	연질토사(N= | 중질토사(N= | 경질토사(N= | 최경질토사(N= | 자갈석인경질토(N= | 연암준설 | 경암준설 | 오니(오염토 오염퇴적물)준설	8	3611:연질토사(N=:AMBIGUOUS:HOLD | 3612:중질토사(N=:AMBIGUOUS:HOLD | 3613:경질토사(N=:AMBIGUOUS:HOLD | 3614:최경질토사(N=:AMBIGUOUS:HOLD | 3616:자갈석인경질토(N=:AMBIGUOUS:HOLD | 3617:연암준설:TASK:KEEP_AS_DISTINCT | 3618:경암준설:TASK:KEEP_AS_DISTINCT | 3619:오니(오염토 오염퇴적물)준설:TASK:KEEP_AS_DISTINCT	AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | TASK | TASK | TASK	HOLD | HOLD | HOLD | HOLD | HOLD | KEEP_AS_DISTINCT | KEEP_AS_DISTINCT | KEEP_AS_DISTINCT	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
LEAF_004C	1209	3616	f2c37f3e456ae9bf1838dd7b6b2ceaa9980e5002f5b66bd180fccbc9b8a23a6c	자갈석인경질토(N=	W_LEAF	하천및항만공사 > 준설 > 자갈석인경질토(N=	하천및항만공사	36	준설	361	AMBIGUOUS	HOLD	GPT_004C_HOLD_AMBIGUOUS	8	연질토사(N= | 중질토사(N= | 경질토사(N= | 최경질토사(N= | 자갈석인연질토사(N= | 연암준설 | 경암준설 | 오니(오염토 오염퇴적물)준설	8	3611:연질토사(N=:AMBIGUOUS:HOLD | 3612:중질토사(N=:AMBIGUOUS:HOLD | 3613:경질토사(N=:AMBIGUOUS:HOLD | 3614:최경질토사(N=:AMBIGUOUS:HOLD | 3615:자갈석인연질토사(N=:AMBIGUOUS:HOLD | 3617:연암준설:TASK:KEEP_AS_DISTINCT | 3618:경암준설:TASK:KEEP_AS_DISTINCT | 3619:오니(오염토 오염퇴적물)준설:TASK:KEEP_AS_DISTINCT	AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | AMBIGUOUS | TASK | TASK | TASK	HOLD | HOLD | HOLD | HOLD | HOLD | KEEP_AS_DISTINCT | KEEP_AS_DISTINCT | KEEP_AS_DISTINCT	0	NOT_AVAILABLE	NOT_AVAILABLE	PENDING	PENDING	PENDING	EMPTY
