batch_no	seed_proposal_key	source_id	source_key	source_node_type	name	source_path	root_name	root_source_key	parent_name	parent_source_key	parent_path	grandparent_name	grandparent_path	depth	is_leaf	child_count	descendant_count	descendant_leaf_count	sample_children	sibling_count	sample_siblings	ancestor_chain	same_name_cicw_count	same_name_cicw_paths	same_name_other_source_count	same_name_other_source_refs	reviewed_anchor_relation	reviewed_anchor_batch_no	reviewed_anchor_name	reviewed_anchor_semantic_kind	reviewed_anchor_decision	lexical_cues	current_semantic_kind	current_review_decision	gpt_semantic_kind	gpt_review_decision	merge_candidate_keys	gpt_reason
211	38b3879ccf8479602ef9df0ea5885a0e496197255462a7b35d1898685070be26	CIC_W	18	W_ROOT	철거해체공사및시설물보호	철거해체공사및시설물보호	철거해체공사및시설물보호	18						1	NO	9	51	42	지상지장물철거 해체 | 지상구조물철거 해체 | 해상구조물철거 해체 | 지하지장물철거 해체 | 지하구조물제거 - - 대․중․소 분류대․중․소 분류 | 기계설비철거 해체 | 전기 통신설비철거 해체 | 지장물보호 | 기타철거 해체공사및시설물보호	0		철거해체공사및시설물보호	1	철거해체공사및시설물보호	0		SAME_ROOT	80	PVC관제거	AMBIGUOUS	HOLD	NONE	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
212	1947811c63d0c16f4119a0ccdd19b8ed4d2272f39ae0fe249faddf762bc002f1	CIC_W	21	W_ROOT	토공사	토공사	토공사	21						1	NO	8	42	34	표토제거및부지정지 | 흙깍기(절토) | 터파기 | 트랜치터파기 | 흙쌓기(성토) | 되메우기 | 토사처리및운반 | 사면보호	0		토공사	1	토공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
213	0990b09fe59e497b5f0c05a146e28abea2965e6bf121ae9bae658a3deb877660	CIC_W	22	W_ROOT	지반개량및지반보강공사	지반개량및지반보강공사	지반개량및지반보강공사	22						1	NO	7	37	30	치환 | 표층처리 | 지반배수 | 고결공법 | 다짐공법 | 지반그라우팅 | 지반앵커(GroundAnchor)	0		지반개량및지반보강공사	1	지반개량및지반보강공사	0		SAME_ROOT	61	GCP(GravelCompactionPile)	AMBIGUOUS	HOLD	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
214	056d749d4602beb449a705af003e810884ec9a027bed43d9892484a79862eeed	CIC_W	23	W_ROOT	말뚝공사	말뚝공사	말뚝공사	23						1	NO	7	29	22	현장타설말뚝 | 기성말뚝 | 케이슨기초 | 연결말뚝(널말뚝) | 지하연속벽(SlurryWall) | 시트파일(SheetPile) | 기초보강공사	0		말뚝공사	1	말뚝공사	0		SAME_ROOT	55	Attiplugite슬러리월	AMBIGUOUS	HOLD	ENDS_WITH_공사|MATERIAL_LIKE_TOKEN	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
215	ce54e888f4f6b9d6d9cf2de195593dca6cd896cd927157347a352b552520bb17	CIC_W	24	W_ROOT	흙막이및지보공사	흙막이및지보공사	흙막이및지보공사	24						1	NO	8	21	13	말뚝흙막이 | 주열흙막이 | SheetPile | PC연속벽흙막이 | 지하연속벽흙막이 | 흙막이지보공사 | 어스앵커(EarthAnchor) 록앵커흙막이 | 조립식간이흙막이	0		흙막이및지보공사	1	흙막이및지보공사	0		CHILD	75	PC연속벽흙막이	PROCESS	KEEP_AS_DISTINCT	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
216	b83757c86a8fc1de9faaa1ed3d4a091cb1a2b36914c34468e8fd97b70595ceb1	CIC_W	25	W_ROOT	철근콘크리트공사	철근콘크리트공사	철근콘크리트공사	25						1	NO	6	31	25	콘크리트자재 | 콘크리트생산및구입 | 콘크리트타설 | 거푸집공사 | 콘크리트보강공사 | 콘크리트부속공사	0		철근콘크리트공사	1	철근콘크리트공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
217	14c2c897b56fe58093fe57dbde41107553c1ddd72a85c41a1c8b9ae105653c67	CIC_W	26	W_ROOT	프리케스트콘크리트공사	프리케스트콘크리트공사	프리케스트콘크리트공사	26						1	NO	8	30	22	PC형틀및생산시설 | PC부재생산 | PC부재운반 | 토목PC구조부재조립 | 기타토목PC부재조립 | 건축PC구조부재조립 | 현장틸트-업콘크리트공사 | PC부속공사	0		프리케스트콘크리트공사	1	프리케스트콘크리트공사	0		CHILD	70	PC부속공사	PROCESS	KEEP_AS_DISTINCT	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
218	5abad6fd66555cb2dfa6e2bebdd6b6b4f284e898aa2097f09d948f30008041d0	CIC_W	27	W_ROOT	강구조물공사	강구조물공사	강구조물공사	27						1	NO	9	36	27	강구조물자재 | 철골가공 제작 | 철골조립및설치 | 금속바닥판및부속설비설치 | 현수 사장구조 | 프레임구조시스템 | 탱크 | 철골내화피복및도장 | 기타강구조물공사	0		강구조물공사	1	강구조물공사	0		SAME_ROOT	97	가공재	MATERIAL_COMPONENT	REJECT	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
219	0b5d8548b3bd86a2b349a375bad2d0663ac228ead7ab53ee77649882199e5643	CIC_W	31	W_ROOT	토목배관공사및배수공사	토목배관공사및배수공사	토목배관공사및배수공사	31						1	NO	5	35	30	토목배관부설 | 토목배관부대공사 | 토목배관부속설비 | 상수도관갱생 | 하수도관갱생	0		토목배관공사및배수공사	1	토목배관공사및배수공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
220	aee11b43857ca937356a6bdc07d4c07bcfb4a907295f6d438907f6bc4c18f3bd	CIC_W	32	W_ROOT	포장및도로공사	포장및도로공사	포장및도로공사	32						1	NO	8	38	30	아스콘포장 | 콘크리트포장 | 경하중포장 | 도로배수시설공사 | 암거구조물 | 도로안전시설공사 | 도로표식시설공사 | 포장면및도로보수	0		포장및도로공사	1	포장및도로공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
221	ac368a0c0f1a47de02b0719a7260cce334402d73f5b81c14790a33504c7de5af	CIC_W	33	W_ROOT	궤도및철로공사	궤도및철로공사	궤도및철로공사	33						1	NO	6	33	27	도상설치공사 | 궤도부설 | 분기기설치 | 건널목공사 | 철도부속설비 | 철로보선작업	0		궤도및철로공사	1	궤도및철로공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
222	a6a8b82cc730c2c1ccbee8a6e3069acf7c737865e0559e13507a584d48ce84e9	CIC_W	34	W_ROOT	교량공사	교량공사	교량공사	34						1	NO	7	30	23	교량가설공사 | 교량받침 | 신축이음장치 | 교량방호시설 | 교량배수설비공사 | 교량부속공사 | 교량부속설비	0		교량공사	1	교량공사	0		SAME_ROOT	56	FCM공법	AMBIGUOUS	HOLD	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
223	32991cb1a0c97581964e68931e8f5b628770b3c39c61b6b842d18f7f1ba41dcf	CIC_W	35	W_ROOT	터널공사	터널공사	터널공사	35						1	NO	6	29	23	터널굴착공사 | 터널라이닝 | 터널보강및안정 | 터널방수및배수 | 터널지보및거푸집 | 터널내부마감공사	0		터널공사	1	터널공사	0		SAME_ROOT	68	NATM공법굴착	PROCESS	KEEP_AS_DISTINCT	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
224	26b97ff0e521dc6ae4e240d623b735a05a95303c6320b135436ff67a44ca249f	CIC_W	36	W_ROOT	하천및항만공사	하천및항만공사	하천및항만공사	36						1	NO	6	40	34	준설 | 사석공사 | 호안용콘크리트구조물제작및거치 | 호안공사 | 항만부속설비공사 | 하천 항만부속공사	0		하천및항만공사	1	하천및항만공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
225	968fd79e7255408d47a238dde1de0c3c6f523d4f5d9961a3343df390bc975ce0	CIC_W	37	W_ROOT	댐공사	댐공사	댐공사	37						1	NO	2	11	9	휠댐(제방) | 표면차수벽형댐	0		댐공사	1	댐공사	0		SAME_ROOT	82	Riprap재료축조	AMBIGUOUS	HOLD	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
226	3693f180a40f5520ba62e105815b6648e668092e90175b4c8cff72a4af71bb1e	CIC_W	38	W_ROOT	옹벽공사	옹벽공사	옹벽공사	38						1	NO	7	13	6	현장타설옹벽 | 조적식옹벽 | 보강토옹벽 | 강재보강옹벽 | 솔저빔옹벽 | 목재옹벽 | 기타옹벽공사	0		옹벽공사	1	옹벽공사	0		SAME_ROOT	76	PC옹벽	FACILITY_EQUIPMENT	REJECT	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
227	0df66f6657194d47f6ba130f5286695ca6b249f820cd9018d97f266de5fa5328	CIC_W	41	W_ROOT	조적공사	조적공사	조적공사	41						1	NO	7	37	30	벽돌조적공사 | 블록조적공사 | ALC공사 | 유리블록 | 가공석재조적 | 조적용조립판넬 | 조적부속공사	0		조적공사	1	조적공사	0		CHILD	51	ALC공사	PROCESS	KEEP_AS_DISTINCT	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
228	79a9af9783fea77d0e2f75f96e56516f3fd1b04d44acbdec3982a78beb025774	CIC_W	42	W_ROOT	목공사	목공사	목공사	42						1	NO	6	28	22	가구식구조목공사 | 통나무구조목공사 | 가공목재조립식구조목공사 | 마감목공사 | 목조부속목공사 | 목재처리	0		목공사	1	목공사	0		CHILD	94	가공목재조립식구조목공사	PROCESS	KEEP_AS_DISTINCT	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
229	5fece427fa5a471efd1c857e65a2d6bf3b3f5ae09da0993212fb575b07f06436	CIC_W	43	W_ROOT	지붕및홈통공사	지붕및홈통공사	지붕및홈통공사	43						1	NO	7	45	38	자연형지붕잇기 | 기와잇기 | 슬레이트잇기 | 금속잇기 | 시트지붕 | 지붕판넬 | 홈통공사및지붕부속공사	0		지붕및홈통공사	1	지붕및홈통공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
230	126751765ecd5389f67b539d63d95e77c06c24e17bab9d1d845ee03e06f83a91	CIC_W	44	W_ROOT	방수공사	방수공사	방수공사	44						1	NO	8	33	25	멤브레인방수 | 침투성방수 | 액체방수및모르터방수 | 금속방수 | 벤토나이트방수 | 방습 | 발수제바르기 | 방수보호재	0		방수공사	1	방수공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
231	0b95fdbb0407e9174e7cd047398cce07f3d87508adcfbbd3b429b427cde6bf7a	CIC_W	45	W_ROOT	단열 방음공사	단열 방음공사	단열 방음공사	45						1	NO	6	30	24	지붕및바닥단열공사 | 슬래브하부단열 | 천정단열 | 벽체단열 | 외벽단열 | 방진 방음공사	0		단열 방음공사	1	단열 방음공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
232	0c95bf1774ffafde028edb18838bfc6ec482a158674540db10a07143e72378fb	CIC_W	46	W_ROOT	외부판재공사	외부판재공사	외부판재공사	46						1	NO	8	33	25	커튼월프레임및앵커설치 | 콘크리트계판넬 | 철재판넬 | 금속판넬 | 석재판넬 | 유리판넬 | 합성수지판넬 | 대형자기 도기타일판넬	0		외부판재공사	1	외부판재공사	0		SAME_ROOT	58	FRP판넬	MATERIAL_COMPONENT	REJECT	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
233	229762bc992ef5ff7f9a29072dbfa81065063f322705647c9e304b59a21defe1	CIC_W	47	W_ROOT	금속공사	금속공사	금속공사	47						1	NO	7	27	20	금속바닥틀(장선)설치 | 메탈스터드시스템(금속벽틀)설치 | 경량천정틀설치 | 금속계단 | 금속마감 | 금속부속물설치 | 건축잡철물제작설치	0		금속공사	1	금속공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
234	8aeebe5c891d36e67877da5c1ec39e0866252f3a1005b6b3087bffbb4fb91d6b	CIC_W	48	W_ROOT	창호공사	창호공사	창호공사	48						1	NO	7	32	25	문 | 창문 | 셔터 | 창호철물 | 유리공사 | 유리부속공사 | 코킹및실링	0		창호공사	1	창호공사	0		SAME_ROOT	96	가공유리	MATERIAL_COMPONENT	REJECT	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
235	f0dcba2f2ffbd09a5157d727b1be98cdccbc1724acd799395d98a1b3bfe0a311	CIC_W	51	W_ROOT	미장공사	미장공사	미장공사	51						1	NO	7	39	32	시멘트모르터미장 | 합성수지혼화모르터미장 | 플라스터 | 인조석(테라조)미장및물갈기 | 온돌바닥공사 | 특수미장 | 미장부속공사	0		미장공사	1	미장공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
236	86322acee46ccabb10b10bac3b4ef479c46300b1506b294947898cdc56dc54f1	CIC_W	52	W_ROOT	석재판재공사	석재판재공사	석재판재공사	52						1	NO	7	43	36	석재바닥깔기 | 석재내벽붙이기 | 석재외벽붙이기 | 석재구조물밑면붙이기 | 석재계단붙이기 | 기타부위석재붙이기 | 석재마감공사	0		석재판재공사	1	석재판재공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
237	474dcb185a1920a86deeb129144ec220c96c88428fdb135da11b3ceed726ea51	CIC_W	53	W_ROOT	타일공사	타일공사	타일공사	53						1	NO	6	48	42	바닥타일붙이기 | 내벽타일붙이기 | 외벽타일붙이기 | 구조물밑면타일붙이기 | 계단타일붙이기 | 이형타일붙이기	0		타일공사	1	타일공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
238	6450ec805602bb29f4301be1aabff67434ea7b0c5bb93d4946810633973f9280	CIC_W	54	W_ROOT	수장공사	수장공사	수장공사	54						1	NO	7	43	36	바닥깔기 | 칸막이공사 | 벽체붙이기 | 천정판재붙이기 | 도배공사 | 박판쉬트(비니어)붙이기 | 장식공사	0		수장공사	1	수장공사	0		SAME_ROOT	93	UBR(UnitBathRoom)설치	AMBIGUOUS	HOLD	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
239	f57d2d7e86a05b7907fcd5c5a4fd3a1b9c01a3279f825fea534fd8b885ece299	CIC_W	55	W_ROOT	도장공사	도장공사	도장공사	55						1	NO	9	55	46	바탕처리 | 방청성페인트 | 유성페인트 | 바니쉬 에나멜페인트 | 락카 | 수성페인트 | 합성수지페인트 | 특수페인트 | 기타도장공사	0		도장공사	1	도장공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
240	bfbdcf581eee69dcd635d40fd5fd21e34c3f3e51ed288a2b747e39d235e2037e	CIC_W	56	W_ROOT	설치물공사	설치물공사	설치물공사	56						1	NO	4	14	10	붙박이실내설비 | 안내표식시설 | 빛조절및시야조절설비 | 시설물별특수설치물	0		설치물공사	1	설치물공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
241	c64aa50eb243614144c714a434a38eae48e601b3d3853472e2dc2ae674a99b76	CIC_W	59	W_ROOT	조경공사	조경공사	조경공사	59						1	NO	8	40	32	토양준비및흙쌓기 | 이식및식재공사 | 잔디공사 | 녹화및보호공사 | 파종및살포 | 조경시설물설치 | 조경유지관리 | 기타조경공사	0		조경공사	1	조경공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
242	315d72442ae85bb2a1b108a414347492ab2ed91884c13875e8ac096b72d602e6	CIC_W	61	W_ROOT	기계 플랜트시설공통공사	기계 플랜트시설공통공사	기계 플랜트시설공통공사	61						1	NO	5	26	21	배관및관련부속공사 | 보온공사 | 자동제어공사 | 펌프․공기설비공사 | 설비․시설잡공사	0		기계 플랜트시설공통공사	1	기계 플랜트시설공통공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
243	1699e64589a476c8ab86aac1d19b0c90b2d58548827eed9a0865d1b2f0f66622	CIC_W	62	W_ROOT	열원기기설비및공기조화설비공사	열원기기설비및공기조화설비공사	열원기기설비및공기조화설비공사	62						1	NO	6	27	21	보일러부․부속공사 | 냉동기․냉각탑공사 | 공기조화기기설비공사 | 덕트공사 | 열교환기 탱크 헤더설치공사 | 냉온수기설치공사	0		열원기기설비및공기조화설비공사	1	열원기기설비및공기조화설비공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사|CONTAINS_설비	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
244	bd4636c4a3ea7dad7bd1a13ac086df3d0d62d90b669da6ab2f8b0d8774025e33	CIC_W	63	W_ROOT	위생설비공사	위생설비공사	위생설비공사	63						1	NO	1	5	4	위생기구설비공사	0		위생설비공사	1	위생설비공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사|CONTAINS_설비	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
245	7ce664de05dede4813fa605e706c8556c8ce355378f10fbdb94dbc4bfa890525	CIC_W	64	W_ROOT	방재기계설비공사	방재기계설비공사	방재기계설비공사	64						1	NO	1	3	2	소방기계설비공사	0		방재기계설비공사	1	방재기계설비공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사|CONTAINS_설비	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
246	25e3c195de20b0135f57f870abb98932676dd179d5d7ab5429573503b4fc4f19	CIC_W	65	W_ROOT	가스설비공사	가스설비공사	가스설비공사	65						1	NO	2	6	4	저장탱크공사 | 가스설비관련기기설비공사	0		가스설비공사	1	가스설비공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사|CONTAINS_설비	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
247	02279fcd9255e45100434962b0aa42b5c3287b02157121476b96d606535233df	CIC_W	66	W_ROOT	특수설비공사	특수설비공사	특수설비공사	66						1	NO	7	21	14	살수관련공사 | 냉동냉장실공사 | 살균설비공사 | 지하수개발공사 | 방식공사 | 아이스링크설비공사 | 기타특수공사	0		특수설비공사	1	특수설비공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사|CONTAINS_설비	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
248	13fecabc0812b260ffd07cbc0fffe2253e31b3188272d93a47f39dbeeb59ccde	CIC_W	67	W_ROOT	서비스설비공사	서비스설비공사	서비스설비공사	67						1	NO	8	20	12	주방기구설비공사 | 세탁장비설비공사 | 의료시험및시운전공사실가스공사 - - 대․중․소 분류대․중․소 분류 | 수영장및분수공사 | 목욕탕및사우나공사 | 진공청소공사 | 주차장관련공사 | 특수방진공사	0		서비스설비공사	1	서비스설비공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사|CONTAINS_설비	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
249	762f1fb8ee8375a528ecb09abe052a02652de5e9edea246fe666c9c0a9a2d601	CIC_W	71	W_ROOT	발전설비공사	발전설비공사	발전설비공사	71						1	NO	9	24	15	화력발전소공사 | 수력발전소공사 | 원자력발전소공사 | 풍력발전소공사 | 조력발전소공사 | 열병합발전소공사 | 태양열발전설비공사 | 발전설비관련공사 | 기타형식분류별발전설비공사	0		발전설비공사	1	발전설비공사	0		SAME_ROOT	66	LinerPlate설치공사	PROCESS	KEEP_AS_DISTINCT	ENDS_WITH_공사|CONTAINS_설비	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
250	f6d06a62cd7a87d1aeb4aa748d2aadf456206e4da322f95fca3570301e00f714	CIC_W	72	W_ROOT	제조설비관련공사	제조설비관련공사	제조설비관련공사	72						1	NO	1	2	1	제철소공사	0		제조설비관련공사	1	제조설비관련공사	0		NONE	EMPTY	EMPTY	EMPTY	EMPTY	ENDS_WITH_공사|CONTAINS_설비	AMBIGUOUS	UNREVIEWED	PENDING	PENDING	EMPTY	EMPTY
