batch_no	seed_proposal_key	source_id	source_key	kind_before	semantic_review_decision	semantic_kind_override	merge_partner_batch	review_basis	approval_state
13	9d01f9cfbc6c92ee2e177912475748fac3ab3e5167424e4f9e22c716a2d09cdb	KALIS_RISK_PROFILE	ec7641a5d30bc1a5255dc97c05ae34b4c4320822820bec12fa93c2706ad32b15	TASK	MERGE_CANDIDATE	TASK	14	GPT_REVIEW_MERGE_CANDIDATE_PAIR	NOT_APPROVED
14	780c053696f6bdf5c9c88c1ecbc25267bf6bc69ab744171463bc07895d40e863	KALIS_RISK_PROFILE	c4f4330ce0a4489d2bc010cd7c651e6e0b05db192f3eba5f11f85d50ab13d7f7	TASK	MERGE_CANDIDATE	TASK	13	GPT_REVIEW_MERGE_CANDIDATE_PAIR	NOT_APPROVED
15	671f0c3202b6a818b4ea89e74ed3255aabc7cee488b93bfabaa246adfec53359	KALIS_RISK_PROFILE	adaf772ee52c5f2e663f79bcaa67d078b71511e92344cffc425de2e41bd4bb5b	TASK	MERGE_CANDIDATE	TASK	24	GPT_REVIEW_MERGE_CANDIDATE_PAIR	NOT_APPROVED
16	dcde8d4792b2b698f4465198a8e889e75045f0613c4422a6c3766d62571c840f	KALIS_RISK_PROFILE	33a19b557d35741aca8df8343cf28c6eb5a8a0dbcc37bfa5c1160dcff1ced5b0	TASK	MERGE_CANDIDATE	TASK	26	GPT_REVIEW_MERGE_CANDIDATE_PAIR	NOT_APPROVED
17	2e631c1985a962b2a6ff4d02e0f530c01882e1e1bbfb90eae9eea78b2c210575	KALIS_RISK_PROFILE	c091c53a2601ca4ea0c92c9345118cabfe8b761e86ccdf6dd678ac10d85361c8	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
18	f7381cf3f764b6bb716a0a05b8b187081640bb681a0e80f04a9045f25cbc6edb	KALIS_RISK_PROFILE	cfa78c54ecc62a2d9673239871b9dbcfe47dfa308a1f30c5a49bf5d48a8f7dd6	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
19	0d3177771d3a502da92100b5e1fd97dd571c69b5826d665f4044b84b17d3bae0	KALIS_RISK_PROFILE	35db5557824c8dfd67e7a1f259411ebe428172d80e30b25afd7adf5133b3004e	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
20	52a600e2f30b64029796c36e7b83949c55927dcf118563d27b6079c1d82d581e	KALIS_RISK_PROFILE	27e9bdbd2fdb3a024e4f2a83ca38e8fba716061ad27f7d74e5367d329c03fdab	TASK	MERGE_CANDIDATE	TASK	30	GPT_REVIEW_MERGE_CANDIDATE_PAIR	NOT_APPROVED
21	55f61d22e8b00df5ee9a842b8ade8308ce7bd56ea499e5eb0e0a15ea25410411	KALIS_RISK_PROFILE	016c9ce38e301026f41853c6057fea4d13a6b067f143881893778d87330c11a8	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
22	40913ce76bfc5df501a2f0bcff5628dbcfa76eda846f266fe1b917dd5a564684	KALIS_RISK_PROFILE	26f444bea902eb7633b53848b042f48dea4580cdd6115d3b07372ccc4d654de0	TASK	MERGE_CANDIDATE	TASK	7	GPT_REVIEW_MERGE_CANDIDATE_PAIR	NOT_APPROVED
23	06dfe1eddae83d810ece26d90965a36d8a1e7589f8bac2a11e68d9994a92f5d2	KALIS_RISK_PROFILE	d6d93a78b9fc0311e3e7d88524c89f9a1e6ecf78bb09d9b231ec67a6528f1a36	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
24	3bfb750cbdc37780063cf83a5c5b865db90a4a852d251d5e61453140adb2874a	KALIS_RISK_PROFILE	bc6cf1e93bf909bfde5eb3e0fe5a550f9963560d23e99762d6cd182347c19ed9	TASK	MERGE_CANDIDATE	TASK	15	GPT_REVIEW_MERGE_CANDIDATE_PAIR	NOT_APPROVED
25	9fb8089a7cfe05852a2d9691d4a1a90397d03ffdc12f9511e7cf513e8326058a	KALIS_RISK_PROFILE	51a54b0649992865c8852fa4cf2b8f315457129fd59d00919a8e7caa85858cbe	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
26	b960b714b88b25dcdf47f071bdfca15080b2ae9025e2ba06be4bfab189cf1737	KALIS_RISK_PROFILE	04f7f116380b81165d2d54d9d4907f0572d6d7074b1738e7418f0f87ed35bd9f	TASK	MERGE_CANDIDATE	TASK	16	GPT_REVIEW_MERGE_CANDIDATE_PAIR	NOT_APPROVED
27	dfeb9039d918bd48db73f900de1a6e5b7f166bd8f495a12d110da0eaf1f9e2c2	KALIS_RISK_PROFILE	4b7c4740ba251d26584487b16ee1f175e9c4d8de88be26a7c888441475a1c878	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
28	8598641038d98e34b2fb333e6a80885d7a9ed9f4b2c3f8bcfca88a0fe9177288	KALIS_RISK_PROFILE	f5a858df88b0ea5284096679f8d6fa62230c396357271f9eca1a530afbeff0e4	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
29	fc467a46a59739d0d5178533eb1fcea5549d1b2a8aa2d67383001e272f362d84	KALIS_RISK_PROFILE	d2f9df12211fc80e3b60649470da928e91c19a0a41406e80a396af01c0e91aa2	TASK	MERGE_CANDIDATE	TASK	37	GPT_REVIEW_MERGE_CANDIDATE_PAIR	NOT_APPROVED
30	64c122aa4932d1aa7225f5c82c3055b8557728967f4a2c379adee7a9149ca0ed	KALIS_RISK_PROFILE	d5f1015ffb456255b8e05cadf9f9561b810bc45505681f6c9ad4aaa43ba089b4	TASK	MERGE_CANDIDATE	TASK	20	GPT_REVIEW_MERGE_CANDIDATE_PAIR	NOT_APPROVED
31	4c59725e415bf7ba3cb070528faed2c4c45a7a7eca0c680049e5b4c777cb7afc	KALIS_RISK_PROFILE	f40ae8c56e57aff8aacb03c253f1e708a170100dc1df18c6f40e5b199f9e0ff7	TASK	HOLD	TASK	EMPTY	GPT_REVIEW_HOLD_UNSPECIFIC_TASK	NOT_APPROVED
32	def8985dca3ae5932985f16b27df7200ba62187101b8930e261a48ff92f9ed5d	KALIS_RISK_PROFILE	570bb48ee02905fad273d9db94ec34b3b8f1f07bcba01989dfc8fd3dc7213928	TASK	REJECT	TASK	EMPTY	GPT_REVIEW_REJECT_INSUFFICIENT_TASK_BOUNDARY	NOT_APPROVED
33	5a1b70fb6b0e4fde65852a5955bcce8a0b673902f089b13b9a5a3f62948d52b2	KALIS_RISK_PROFILE	f27ac2c6cbdb80a392c6a6ce98a3fe806e408d040a448d8b4cbdcf393ff8a3c5	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
34	2b5d91b1c032cb63bdaa5c54305df05fab55127c39817b1035671de07f89f9d2	KALIS_RISK_PROFILE	c14e6c9d2a5be18d3f6e8c89c3b54ac383eab02b0bb41f992aef20286e32fc19	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
35	8b36a9fc0274f3a34d40ab0c7131dc1a49798e0488acd32d995e70ea8e3225b5	KALIS_RISK_PROFILE	f6bb286c4afb8061f335be74972eaad91f74e6629cc1af17528306b2d4209150	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
36	6e9a18a721aa6d25339fe629a0e0322c9355c67eb7331359624c6f9db5dbd9b5	KALIS_RISK_PROFILE	8cc83a51cb7c276d36a79782654f52851dd98d07a67df55c73951742f266f65b	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
37	681cd5a835804d6c3dd3f97167776fd9786a1dbf99d19a254c488b94d57d60dc	KALIS_RISK_PROFILE	1a16e456c9ef15217239f110a85699355c7745eafcbe426c72a959906d502ea2	TASK	MERGE_CANDIDATE	TASK	29	GPT_REVIEW_MERGE_CANDIDATE_PAIR	NOT_APPROVED
38	6bca09bf3093594e09833f1f647392c38d5d1060eb49ed17ee62507753df2297	KALIS_RISK_PROFILE	bbb054942c4d4f9ec5f331b9fd965a1762e412fe9f1a564cd6833312749d8085	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
39	3e038ff11f4fe93a11ae6c81de369dff8f2ddd075a57a85a9937f175a8a8592e	KALIS_RISK_PROFILE	700634c713c095be3ffcab140bb44f68542e194e780381feb1d7e0fb8f47914d	TASK	REJECT	TASK	EMPTY	GPT_REVIEW_REJECT_INSUFFICIENT_TASK_BOUNDARY	NOT_APPROVED
40	bd9d48aac0e971c853a01ca521c6b1920a854990c9ad62578d484a49f7249f42	KALIS_RISK_PROFILE	1b5aab17f3e9dc674c0911638385e8164dd6da740a939e7522154c58f0be98d8	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
41	66d640f08a9016c78123c0f49ed255f38b74fade40aab751aade2ee5f73dbca8	KALIS_RISK_PROFILE	a3f2bbc348f31b2d65d3e5cfa71264c6078ff8599ba2242078dfc220553ec3ab	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
42	1e0f519a1f4d50e121218d4f411451fda97629dcc57fdf576efb7b4236e1e6f8	KALIS_RISK_PROFILE	79bcb06b59d684d58f2da5ae7e981200accf6c37234d0fb7e75d5adb3b5dfdf8	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
43	6e5bead16c10b2924e1a53cdc9c7938176c66ee82b52f4e6e9a78093af4d4712	KALIS_RISK_PROFILE	9f90d4df662ce5f31327ff36ef51c4aa1b316b9c6e5d4bd730acbc579381245a	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
44	d0ab6e2b3e435aa1a6bfcf3073f76f0648bec7e0573832662f22012ec5470255	KALIS_RISK_PROFILE	caeb1e7d30b5dd14b4bae9700931b2c84d85d0687abea332f5f926ceb702ef59	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
45	2d45629c064ae3d85e7f9b42521f2d6cbb828921b6ef0f8ca3772690ab21da79	KALIS_RISK_PROFILE	34b902f0b594a12b53c0d40651176e68d406c0736598039945b1fa586c042ce0	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
46	45de4c37242bcb2bf45d4d32787e514a0d4aa7aaf97bb0041a734b2bb4d25c42	KALIS_RISK_PROFILE	cecd35c58f1428326de1d40cfbe74c317ceb0899dabdca20ac95972d26acd882	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
47	60af48c7392dbfe32b264401af46e516702332378dbeea7488725ddb49d755da	KALIS_RISK_PROFILE	a98a931a02af0e7dafda62780e3a01c0142aa554a2851fba159b98f35bb6198c	TASK	MERGE_CANDIDATE	TASK	8	GPT_REVIEW_MERGE_CANDIDATE_PAIR	NOT_APPROVED
48	c257b24269ee7a031f4374fa1fd7f61d9c974c549827a2e08b834942b4aa9872	KALIS_RISK_PROFILE	19a41bb40a70b5892cf816ec1e019794f94a6922ce943bdff1c89df3d061ad72	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
49	c61d71f63619a20791c4b2f362c2302aaa3cb3457817d3e367f40b48f52e7e24	KALIS_RISK_PROFILE	d8a2ce99b11fa1e139226ac2e6baefd810d6c7be9674b9d5b5e948cf7d73a3c8	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
50	6ea5ef47c91568fb030d6ef254e8e1f3b4dc352c466f44c4abb043d5da2c4c0f	KALIS_RISK_PROFILE	cc451e2ff343e1d0dc6b6add1c62e8e74924fa8de133505998e58e046c433774	TASK	KEEP_AS_DISTINCT	TASK	EMPTY	GPT_REVIEW_KEEP_TASK_CONTEXT	NOT_APPROVED
51	25911ee3bb3b82327416f160dafdff848c0d93514178e972821f33212818e66b	CIC_W	414	PROCESS	KEEP_AS_DISTINCT	PROCESS	EMPTY	GPT_REVIEW_KEEP_PROCESS	NOT_APPROVED
52	d5b4ccc848e754883c35a9d1b44a42723798268b34e023493962a2dda144b8d4	CIC_W	4141	PROCESS	REJECT	MATERIAL_COMPONENT	EMPTY	GPT_REVIEW_REJECT_MATERIAL_COMPONENT	NOT_APPROVED
53	a7728f32de3fc0ae65a88ebd8435231dd128939b2542ae89f6a65fe1882fe2f3	CIC_W	4142	PROCESS	REJECT	MATERIAL_COMPONENT	EMPTY	GPT_REVIEW_REJECT_MATERIAL_COMPONENT	NOT_APPROVED
54	120e45833dd68bfe0a0f2a096de07415b6a287fb396c85b652a98dcebfc32264	CIC_W	7351	PROCESS	KEEP_AS_DISTINCT	PROCESS	EMPTY	GPT_REVIEW_KEEP_PROCESS	NOT_APPROVED
55	7185d093d571ac18405e863997673d3b0a14c1688b7c31035e5eb4bc1632bc7b	CIC_W	2352	PROCESS	HOLD	AMBIGUOUS	EMPTY	GPT_REVIEW_HOLD_KIND_UNRESOLVED	NOT_APPROVED
56	f94eee52d48ef45f0a44677664858272c19dbcb89e581c7d852fee4913bb28aa	CIC_W	3412	PROCESS	HOLD	AMBIGUOUS	EMPTY	GPT_REVIEW_HOLD_KIND_UNRESOLVED	NOT_APPROVED
57	97f82cc77e55db3c15aea0881a42738ef12cfea05adf614ea251de82747632f4	CIC_W	7355	PROCESS	KEEP_AS_DISTINCT	PROCESS	EMPTY	GPT_REVIEW_KEEP_PROCESS	NOT_APPROVED
58	1c865c7caac006a11b86782de4307b081db4b504ef2b59e24cf2e14d4f495d94	CIC_W	4671	PROCESS	REJECT	MATERIAL_COMPONENT	EMPTY	GPT_REVIEW_REJECT_MATERIAL_COMPONENT	NOT_APPROVED
59	9fc549e2cbadc980c350dff5f7e86ab9012456189125abf9c01961e6625332c3	CIC_W	3413	PROCESS	HOLD	AMBIGUOUS	EMPTY	GPT_REVIEW_HOLD_KIND_UNRESOLVED	NOT_APPROVED
60	5ff58b19cef349edefadfe9c0df983ff039da726b42c0d9e18e44f53aa953541	CIC_W	7352	PROCESS	KEEP_AS_DISTINCT	PROCESS	EMPTY	GPT_REVIEW_KEEP_PROCESS	NOT_APPROVED
61	93d31167a68d963ed8c9385ef8f2131ce36a8e4dd84ffeff6b03c00c889dbe93	CIC_W	2256	PROCESS	HOLD	AMBIGUOUS	EMPTY	GPT_REVIEW_HOLD_KIND_UNRESOLVED	NOT_APPROVED
62	166fcc28daca592d7f0f79de969c032c3bf11e2066c7668ad8fbe8010db6f7cc	CIC_W	8231	PROCESS	KEEP_AS_DISTINCT	PROCESS	EMPTY	GPT_REVIEW_KEEP_PROCESS	NOT_APPROVED
63	9b9e63b59e70420fbc4aaaad17fd2dcff623853aa7499cac923b30f025548327	CIC_W	3411	PROCESS	HOLD	AMBIGUOUS	EMPTY	GPT_REVIEW_HOLD_KIND_UNRESOLVED	NOT_APPROVED
64	ee1f60355c52e3d3ce0942221e3dfabd5d40af129a476e0fc1c5c6d5d7ac7d6f	CIC_W	762	PROCESS	KEEP_AS_DISTINCT	PROCESS	EMPTY	GPT_REVIEW_KEEP_PROCESS	NOT_APPROVED
65	4892305bf05bcaaa4310aa53129268992ae9bd6738eb28f42ce6f9505fc98a8f	CIC_W	7621	PROCESS	KEEP_AS_DISTINCT	PROCESS	EMPTY	GPT_REVIEW_KEEP_PROCESS	NOT_APPROVED
66	629556ca5cc690eb7a10f9a55698f79f47a77fda3e347ff0203fd57f6b5c59e1	CIC_W	7183	PROCESS	KEEP_AS_DISTINCT	PROCESS	EMPTY	GPT_REVIEW_KEEP_PROCESS	NOT_APPROVED
67	64c198e2f4f6f807628e1008efb84d0d9099439f0dd82503c261294ec5f039ab	CIC_W	3414	PROCESS	HOLD	AMBIGUOUS	EMPTY	GPT_REVIEW_HOLD_KIND_UNRESOLVED	NOT_APPROVED
68	23e54dd85bd66bffef39818a96994619531f1e6b24d1731a1bf8192c83bc052e	CIC_W	3515	PROCESS	KEEP_AS_DISTINCT	PROCESS	EMPTY	GPT_REVIEW_KEEP_PROCESS	NOT_APPROVED
69	cb3e7b87864a42cd651e9999dda3899765695750eae73417932c92bf9f92fa2e	CIC_W	0373	PROCESS	KEEP_AS_DISTINCT	PROCESS	EMPTY	GPT_REVIEW_KEEP_PROCESS	NOT_APPROVED
70	7eb4e64be9df29fcaa2ece3d41973c572a41c6704e55c6a41e7356b413e21a79	CIC_W	268	PROCESS	KEEP_AS_DISTINCT	PROCESS	EMPTY	GPT_REVIEW_KEEP_PROCESS	NOT_APPROVED
71	d5ea915017e7f076451956e9fdab4d46f19c7e617f2e22f6ff57c93a9b59a9bb	CIC_W	2681	PROCESS	KEEP_AS_DISTINCT	PROCESS	EMPTY	GPT_REVIEW_KEEP_PROCESS	NOT_APPROVED
72	916b52957a2ed4ff2487f96cc0416087e7642fac86aa4b48db380e1e340d8cf3	CIC_W	262	PROCESS	KEEP_AS_DISTINCT	PROCESS	EMPTY	GPT_REVIEW_KEEP_PROCESS	NOT_APPROVED
73	c8be52f082068bbc8a2285bed88627abadb82de4bf46ddc8af55c392e751177e	CIC_W	263	PROCESS	HOLD	AMBIGUOUS	EMPTY	GPT_REVIEW_HOLD_KIND_UNRESOLVED	NOT_APPROVED
74	1b8be951bec6ac3940752879a2072e3a8e7fb97ecf3c102a215e87f1d42dc659	CIC_W	2646	PROCESS	HOLD	AMBIGUOUS	EMPTY	GPT_REVIEW_HOLD_KIND_UNRESOLVED	NOT_APPROVED
75	1e9e33472b26e81afbf9c6b439f8f79b50559c153cc71d82ad7e9422a7f1d590	CIC_W	244	PROCESS	KEEP_AS_DISTINCT	PROCESS	EMPTY	GPT_REVIEW_KEEP_PROCESS	NOT_APPROVED
76	fa508c7d5e0e61527e6d0c034cb5ee99a206230111ad1271cd3f6382856ee7c9	CIC_W	3821	PROCESS	REJECT	FACILITY_EQUIPMENT	EMPTY	GPT_REVIEW_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
77	d1b90a65c1dad0b8b06dc9fa87e6d7ae12e921d461c70b4562d0a97f474e703b	CIC_W	2682	PROCESS	HOLD	AMBIGUOUS	EMPTY	GPT_REVIEW_HOLD_KIND_UNRESOLVED	NOT_APPROVED
78	fd9efc2bb3c82fcd8ca399ec862e83eba291fb48f5c646ffef4e73b9e6957576	CIC_W	261	PROCESS	REJECT	FACILITY_EQUIPMENT	EMPTY	GPT_REVIEW_REJECT_FACILITY_EQUIPMENT	NOT_APPROVED
79	b0f74699d74c07ae6fa100aeede354bd4d6b20e188ec5c237f0048e3ac4dd011	CIC_W	3415	PROCESS	HOLD	AMBIGUOUS	EMPTY	GPT_REVIEW_HOLD_KIND_UNRESOLVED	NOT_APPROVED
80	3ac0772b231b17dafe1ea899b70772ad89dabb608d0c3a261a697c19868fda6a	CIC_W	1844	PROCESS	HOLD	AMBIGUOUS	EMPTY	GPT_REVIEW_HOLD_KIND_UNRESOLVED	NOT_APPROVED
81	6d70e7206cfa3b61b1dbcedfb234ec878a0141b119cc65f39f2bf12510c6318b	CIC_W	2324	PROCESS	REJECT	MATERIAL_COMPONENT	EMPTY	GPT_REVIEW_REJECT_MATERIAL_COMPONENT	NOT_APPROVED
82	5d973d4bd3610d1d8e89b683eaec3d91219ad8176d08d595467a0490a8fb9d3d	CIC_W	3716	PROCESS	HOLD	AMBIGUOUS	EMPTY	GPT_REVIEW_HOLD_KIND_UNRESOLVED	NOT_APPROVED
83	0b9f05fd2c7861efb37e5a9d4aedc2360712edb9a0651d2bc85b5b79820c9cff	CIC_W	1234	PROCESS	HOLD	AMBIGUOUS	EMPTY	GPT_REVIEW_HOLD_KIND_UNRESOLVED	NOT_APPROVED
84	b71d60da07ee37da0d6b953c5ce1ed656e9d1a6e352cd2f8bdfb967f5e241881	CIC_W	2255	PROCESS	HOLD	AMBIGUOUS	EMPTY	GPT_REVIEW_HOLD_KIND_UNRESOLVED	NOT_APPROVED
85	860dfae19c69a0d246af300631e11161005a379bd1af6612875c86762f4cbcff	CIC_W	243	PROCESS	REJECT	MATERIAL_COMPONENT	EMPTY	GPT_REVIEW_REJECT_MATERIAL_COMPONENT	NOT_APPROVED
86	975cb6c0568ed2b783d2d0c6a58dcc8cc3a65aa29c7a15548a25f3d9e50bd966	CIC_W	0372	PROCESS	KEEP_AS_DISTINCT	PROCESS	EMPTY	GPT_REVIEW_KEEP_PROCESS	NOT_APPROVED
87	deeda1c6c027a48eee0dd5410c8daea14b715f2c095ba778ff81c75c70c456eb	CIC_W	3514	PROCESS	KEEP_AS_DISTINCT	PROCESS	EMPTY	GPT_REVIEW_KEEP_PROCESS	NOT_APPROVED
88	efc89b38828e07459f9b0d0c218c397a1fa34886b1aadd2949c75c139881b370	CIC_W	1235	PROCESS	HOLD	AMBIGUOUS	EMPTY	GPT_REVIEW_HOLD_KIND_UNRESOLVED	NOT_APPROVED
89	f509bd65ef8db16879513e9ae1c536c2ce86400ff5a8a2ff7ee41d0e2aa484f1	CIC_W	9131	PROCESS	KEEP_AS_DISTINCT	PROCESS	EMPTY	GPT_REVIEW_KEEP_PROCESS	NOT_APPROVED
90	6a795498bcd06f99ce124f4cf52a5414f415fb4599b77a5f72b0ae56019cbe49	CIC_W	9111	PROCESS	KEEP_AS_DISTINCT	PROCESS	EMPTY	GPT_REVIEW_KEEP_PROCESS	NOT_APPROVED
91	33412615796bd766f30dbf2e80630ade174815917a31269a64554945836b7de5	CIC_W	3513	PROCESS	KEEP_AS_DISTINCT	PROCESS	EMPTY	GPT_REVIEW_KEEP_PROCESS	NOT_APPROVED
92	29cf63f9d74bf8d7538259bcdf4ecacf2f9056dbdee986ae7141a2e0a810172e	CIC_W	8432	PROCESS	KEEP_AS_DISTINCT	PROCESS	EMPTY	GPT_REVIEW_KEEP_PROCESS	NOT_APPROVED
93	a3494d10c2e014eb537f40c2047c6fc42f04dcaf0747c1e7fb5a21f8f6ed2491	CIC_W	5425	PROCESS	HOLD	AMBIGUOUS	EMPTY	GPT_REVIEW_HOLD_KIND_UNRESOLVED	NOT_APPROVED
94	da0fce6f1c58c7903477b7f5d1d9baf88361fe700decaa2376d051a2aa7c288c	CIC_W	423	PROCESS	KEEP_AS_DISTINCT	PROCESS	EMPTY	GPT_REVIEW_KEEP_PROCESS	NOT_APPROVED
95	1c46dc57f4ca5cfca99c9538a84617909bbff55e41431ba7abc4b6a346a6ca5f	CIC_W	416	PROCESS	KEEP_AS_DISTINCT	PROCESS	EMPTY	GPT_REVIEW_KEEP_PROCESS	NOT_APPROVED
96	d55a9bf5177f41261fc9d875225a6ceb45dc11aa63563596f787d0e4a268e142	CIC_W	4866	PROCESS	REJECT	MATERIAL_COMPONENT	EMPTY	GPT_REVIEW_REJECT_MATERIAL_COMPONENT	NOT_APPROVED
