batch_no	seed_proposal_key	source_id	source_key	semantic_kind_before	semantic_kind_after	semantic_review_decision	merge_candidate_keys	approval_state
220	aee11b43857ca937356a6bdc07d4c07bcfb4a907295f6d438907f6bc4c18f3bd	CIC_W	32	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
221	ac368a0c0f1a47de02b0719a7260cce334402d73f5b81c14790a33504c7de5af	CIC_W	33	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
222	a6a8b82cc730c2c1ccbee8a6e3069acf7c737865e0559e13507a584d48ce84e9	CIC_W	34	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
223	32991cb1a0c97581964e68931e8f5b628770b3c39c61b6b842d18f7f1ba41dcf	CIC_W	35	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
224	26b97ff0e521dc6ae4e240d623b735a05a95303c6320b135436ff67a44ca249f	CIC_W	36	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
225	968fd79e7255408d47a238dde1de0c3c6f523d4f5d9961a3343df390bc975ce0	CIC_W	37	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
226	3693f180a40f5520ba62e105815b6648e668092e90175b4c8cff72a4af71bb1e	CIC_W	38	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
227	0df66f6657194d47f6ba130f5286695ca6b249f820cd9018d97f266de5fa5328	CIC_W	41	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
228	79a9af9783fea77d0e2f75f96e56516f3fd1b04d44acbdec3982a78beb025774	CIC_W	42	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
229	5fece427fa5a471efd1c857e65a2d6bf3b3f5ae09da0993212fb575b07f06436	CIC_W	43	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
230	126751765ecd5389f67b539d63d95e77c06c24e17bab9d1d845ee03e06f83a91	CIC_W	44	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
231	0b95fdbb0407e9174e7cd047398cce07f3d87508adcfbbd3b429b427cde6bf7a	CIC_W	45	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
232	0c95bf1774ffafde028edb18838bfc6ec482a158674540db10a07143e72378fb	CIC_W	46	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
233	229762bc992ef5ff7f9a29072dbfa81065063f322705647c9e304b59a21defe1	CIC_W	47	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
234	8aeebe5c891d36e67877da5c1ec39e0866252f3a1005b6b3087bffbb4fb91d6b	CIC_W	48	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
235	f0dcba2f2ffbd09a5157d727b1be98cdccbc1724acd799395d98a1b3bfe0a311	CIC_W	51	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
236	86322acee46ccabb10b10bac3b4ef479c46300b1506b294947898cdc56dc54f1	CIC_W	52	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
237	474dcb185a1920a86deeb129144ec220c96c88428fdb135da11b3ceed726ea51	CIC_W	53	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
238	6450ec805602bb29f4301be1aabff67434ea7b0c5bb93d4946810633973f9280	CIC_W	54	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
239	f57d2d7e86a05b7907fcd5c5a4fd3a1b9c01a3279f825fea534fd8b885ece299	CIC_W	55	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
240	bfbdcf581eee69dcd635d40fd5fd21e34c3f3e51ed288a2b747e39d235e2037e	CIC_W	56	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
241	c64aa50eb243614144c714a434a38eae48e601b3d3853472e2dc2ae674a99b76	CIC_W	59	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
242	315d72442ae85bb2a1b108a414347492ab2ed91884c13875e8ac096b72d602e6	CIC_W	61	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
243	1699e64589a476c8ab86aac1d19b0c90b2d58548827eed9a0865d1b2f0f66622	CIC_W	62	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
244	bd4636c4a3ea7dad7bd1a13ac086df3d0d62d90b669da6ab2f8b0d8774025e33	CIC_W	63	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
245	7ce664de05dede4813fa605e706c8556c8ce355378f10fbdb94dbc4bfa890525	CIC_W	64	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
246	25e3c195de20b0135f57f870abb98932676dd179d5d7ab5429573503b4fc4f19	CIC_W	65	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
247	02279fcd9255e45100434962b0aa42b5c3287b02157121476b96d606535233df	CIC_W	66	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
248	13fecabc0812b260ffd07cbc0fffe2253e31b3188272d93a47f39dbeeb59ccde	CIC_W	67	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
249	762f1fb8ee8375a528ecb09abe052a02652de5e9edea246fe666c9c0a9a2d601	CIC_W	71	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
250	f6d06a62cd7a87d1aeb4aa748d2aadf456206e4da322f95fca3570301e00f714	CIC_W	72	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
251	34c9d83d2a7bb3f20d0a1b0b45c4feba353301a0f954392441a77bd07ccd3e6d	CIC_W	73	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
252	c1abdd5e02130019a25e49ab07b5c1813c5745a950e876e57d259f2eea1ebb99	CIC_W	74	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
253	28b18a71e7616eeb47097efa97a782c1bfcb38502457e8f4bf7fe08b5be33e40	CIC_W	76	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
254	53af066f3a797d4904997d780d2856e492245f7d79b17128fc62aa896f845472	CIC_W	81	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
255	beabb0cb7a799ec28dcfa7892aeb3703c5de28a59269dccece65cd98efbcd152	CIC_W	82	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
256	a4d83d0132a55ce6f42d404136ca2c10c43e92a37f1be8a2355417e8a0879cba	CIC_W	83	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
257	4d8b86b98fef2c0c27b9d3d58f82e190d3ce956b3d8cfcdd5f01c80cb11fe7d5	CIC_W	84	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
258	a7a149d6f8244e030864f04150559efd8866e5596b1b57b5068270abf2f9ff28	CIC_W	85	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
259	1b752e388f8f16b7b4098c157968ae399def37a2aa552f7ea130ee7ef018ae6a	CIC_W	86	AMBIGUOUS	PROCESS	MERGE_CANDIDATE	UNRESOLVED	NOT_APPROVED
260	5959665a38aa3d1615f6d3fa9b82c46d1cf8ac4989148b83857791acef91eb10	CIC_W	91	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
261	e0a22dbb0cd5357ac80e563f11732d80d7ab61567cc92c6cd8fa09ad9e7c0da8	CIC_W	92	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
262	a5e3f1e50bae0dc0e1cd29c2867e144008fb8b6834eaac72a92488d157ed2ad7	CIC_W	011	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	NOT_APPROVED
263	48e315bc2c984bab456a7510e9e8f8eceef30cd2b82bddbb885355875edb214a	CIC_W	015	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	NOT_APPROVED
264	9665c36c4a72ef05ab8e8e0f0a76f3c7f6c7a785a663d508aefbc307b59a16a6	CIC_W	022	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
265	526cb30286447d65507429367245fc350de5b50e5d3d7bf450b013c519c36ad0	CIC_W	114	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
266	6f0a20fbd7d6be83a079154d6f79857b3f06d9fc05fd40290f7fe81a41a034d5	CIC_W	271	AMBIGUOUS	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
267	3591bc7a2165c398aabb67d275880f5db897c0ccf10a657feca79912908b4802	CIC_W	333	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
268	0ce7afb0fcdaff64f3a3814edb12a8f393879e98eb357354e8025c9fbf51d1b4	CIC_W	361	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
269	65d90aeb853fd211c2550ca5190c2765b886e6cfab6fae9880890437b62c62ac	CIC_W	364	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
270	8ef105f9dcb3cb4e4a6be8be4c6fb1731465dd760d217938c04806d0bd463d95	CIC_W	432	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
271	54c6ec744924bce174995d216f7d2ab3128a19500b145836b6cf081e6a893083	CIC_W	531	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
272	5bf05d2491bfec37c72b6bfc8d61ff9d1366976fd6eee3a32f15b96c64a7342a	CIC_W	532	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
273	536d85657493fc1366bbc6a32a9f0aba65f9bffe19673e46e9465924fde41941	CIC_W	533	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
274	c521d7e2531510e18a6c8c47655352aec264594f047c5b2d0b23fd87bc15c90d	CIC_W	534	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
275	cadbf2c7149bc07b27e9c1cb45256ddfb31db4b762dedf11204e519dbab46691	CIC_W	552	AMBIGUOUS	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
276	dd37d9dbe16940f0d8d1f23e431c2f499d34a748de4491417b8f6dcab77af774	CIC_W	557	AMBIGUOUS	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
277	38233ebf4da6c93447c4b3e6932217d6c44e51795afdede8f5ac099409145fb3	CIC_W	558	AMBIGUOUS	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
278	26dc466aa49c299d893336855e3e0d5a9fbc8902828f10784c43a46097d34f61	CIC_W	596	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
279	23c63a63f535450f7908be84cf5cf45625bcc66c7be1a67d9888281f809efdd9	CIC_W	615	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
280	953e851d81455017e506267d2cf06cfd6a3e0eb69ba427cc778666155e9f7c45	CIC_W	851	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
281	0055415d603e0778429b0b22a25f399ce12ddd8833c8dea4eaab6c5435c49af6	CIC_W	028	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
282	3cac521404474de20ffd62f1ea54f5a44328bb253c1851e1475197157087ba9a	CIC_W	085	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
283	26d606c0880898aed18d5cfd8e9021c02422fa73ea0dbaa5ed9db3dbc31f2484	CIC_W	111	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
284	9ef82c7da6b51e0baf48e29e4a1ae68d9667fa70a2517946480a57266710b644	CIC_W	116	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
285	a9df50a5f58a58d10a02e7c4265fe57908650a5d1d8e90e78db50ae55309bb4f	CIC_W	121	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
286	654668f26bdc889efbd6753a2769c0432a2ab5af27930a4af55287c6f661e122	CIC_W	315	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
287	089ef8961de7f5991c55ab089ae6d5bb662c7676c6eda73bb4b816eb7fad9d7a	CIC_W	321	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
288	25589652f4425542397a118d9e0832fcccf7456cdaaaa3fad3a0ab4f1b5ac996	CIC_W	362	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
289	45f5473496768d726852f06ebd196577a5e432ce27311724c6c8405d6dfa33e4	CIC_W	592	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
290	c10f96ee20d00464f3b4ea1b074ba9620c8066201bc391b134cbded068696ea4	CIC_W	623	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
291	9edb679b680f91dc4b59028ed1a3fc36cabfcd4064e1de1c0955a8be0c4cc257	CIC_W	861	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
292	babfac9ce8f9462c59e0fbdca711525e5a5ce6779eab1511d2d80da2c12ae4b1	CIC_W	023	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
293	7b4427caf263423a5af364d0799a2a4b45ae1faa3f6bdadfaa57703de5777aeb	CIC_W	125	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
294	88efd6f1c8e2663a99eb07662cd6cf1d68577d3a65fa6f49936b15a0fff69b94	CIC_W	184	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
295	14a8d996416e0a46208aa03eb0e0fb6bbda385074ba8671f2071452a6f019674	CIC_W	186	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
296	d3a5b62fc9f921c44872831f5a6db30dda4fdad4229eaab7b8aa114b76c3d9b9	CIC_W	187	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
297	05eb3e36c8f5fdcce15db96bd2efa226b94e3667b56e30da9de3c1df8c4d3979	CIC_W	254	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
298	693e3ce3b0d9c873382dcaa5f43db9da486f06e528222facc36d568297b97a2e	CIC_W	314	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
299	a53cc7b397ecf784f7fce5f30f6f50e52dae2e827bab41c38478ecf6a51ca596	CIC_W	411	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
300	621883216658ee8b51a882458b863caac6f0ef0a3aa90a6ae210d979ceff9c6d	CIC_W	425	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
301	e683e7b2b273471998aeddcc327d4baecc37bb99b92f16d2aaa27d3a53d282d5	CIC_W	541	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
302	ce15610a4e31dc60519f4c1b343d5cbfad096cf9ac6920fe8fe0e6ca5c32e2e9	CIC_W	551	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
303	2cf634c78acd0c1d65c2e17f2ce8b293dff56c57a44de00f9c4f334f033c2606	CIC_W	597	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
304	56c9b1d2639a8d42a943515b10f2f0b623498a479dee255b9768e58949e8a2a5	CIC_W	021	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	NOT_APPROVED
305	ee76e4a5630da67880b1627a5560ceec76156d6c14926c8f9aa2b6055eeae525	CIC_W	032	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
306	eb4509535157edb86ac8f9a6ec0e7a2196b60a0d293d3c3b8f960af93d805e15	CIC_W	051	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
307	8b329e339c56ddbd992c483c14f39db1b2b4cec6d0993cbcaac5927e21bb00a2	CIC_W	058	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
308	49813a06650a6f985c06e76617c30edaad73ea0ceb6e97cf7f2851c856627f90	CIC_W	072	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
309	50c34f99212a685fb0c43afbdd71afd6b0a5d376c07ea999f19274d41ea3fd88	CIC_W	087	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
310	cfee7cb4e64617349f577b98e308dfd6e7efb02f623e7eef4c778dc901c3b511	CIC_W	123	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
311	d80fbdfd0068168ac8242fd71420c4123ca8237ff09ba28e8d27b0c95bda4014	CIC_W	135	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
312	633de30a44241ed07e03d528d596baef9d775e80c0babbd78a62af930048c012	CIC_W	211	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
313	f95509df7ab07fb93be69baac9729f03f37ac11cf78ec8c30dbf82580e3ca5fd	CIC_W	222	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
314	66dbb7d89e4a14636cd8431711be1e61d8aeb717920c0bfae3ea843ad2e9bacf	CIC_W	223	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
315	762f6dec5101d05267921403ca4c5e22f7758b93eecbdc5d628d89d40cc66519	CIC_W	224	AMBIGUOUS	METHOD	REJECT	EMPTY	NOT_APPROVED
316	d32db45f90e0d2a3c8e5b9da8508f1d5aceb6921cefa9c5ac4faf56cf3683d69	CIC_W	225	AMBIGUOUS	METHOD	REJECT	EMPTY	NOT_APPROVED
317	07341c776573199af8b2235389736753f5756770450e10db8e5111cc6c364ffb	CIC_W	264	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
318	bd90ea68420260c25122b721a943a0c96032f06305512a5ea784c26a482d2f23	CIC_W	311	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
319	5b5a63178cad24e81f0805add9a6a5abca3a74cc47046d945e3f7325098d3835	CIC_W	338	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
320	47b68ca576108fb28063bf570f851efc0ff341b58accf5ef4a397c0f3a083483	CIC_W	353	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
321	93d18db94231cee317fd601cee60906f23dc1ab2d4c5fbbc8d3ec7be9da212d9	CIC_W	371	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	NOT_APPROVED
322	e500e995fd6b12007824612b10aa49b2d3060bee64edb60b02f8010b2d95a45f	CIC_W	434	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
323	c96e5e837e8c53712e7efa698aabb11db1bb0b14b36a97fb594b1801bb9c198d	CIC_W	435	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	NOT_APPROVED
324	6c2e0e498b779fc44d279871437f26960522a443a2da67fa7220e580cdf901c6	CIC_W	437	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
325	a9ef0cceac826fb24ba0b743b51c9e00dd42bd825cd2604c663ce0ac484b895f	CIC_W	451	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
326	35ec53f9a44899a536371023d37fd6c4d8863cca2cc0199f18ef5bebffb92762	CIC_W	461	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
327	2225099a2047d514c7b47b79ada6c511e545188779e2cf405cb04ea20d2e8302	CIC_W	474	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
328	f0eeea6dc0e4475a75c113f0d007e117f59c0fc04d95a5cd15aefebdf654fc37	CIC_W	477	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
329	134bfb3516d220e4555dd113f4e7b5be56ad0483784f271e60a3a5327aa4e13f	CIC_W	511	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
330	4a2afc9181d8d894bd79141b072185f59adff66f6e0a8aab34d9f33ce05c52a5	CIC_W	513	AMBIGUOUS	MATERIAL_COMPONENT	REJECT	EMPTY	NOT_APPROVED
331	c175f8f58b76055111a2ce2fc4bb447d9b96cded044d887e37bfe02bc0ce6b8d	CIC_W	515	AMBIGUOUS	PROCESS	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
332	174c276ed31db80d4f28170b1e2013696e40def172315f9fd9670135c88d1bdc	CIC_W	0111	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	NOT_APPROVED
333	026fa6840667bb0e6b479362f324aabe5ac2c2737e5a28c6e4de0ecf44915e9c	CIC_W	0211	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	NOT_APPROVED
334	a2c33427ad8a4f0e9c52fdbce0e583777b3ca9903fa497d4e523340235caebed	CIC_W	0311	AMBIGUOUS	FACILITY_EQUIPMENT	REJECT	EMPTY	NOT_APPROVED
335	b6127c94212073bb116f39295ead0322d0835513ad929fb78b0fcbe75c5b90ee	CIC_W	0511	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
336	102ea41c705bdf22ae91e6fd40c4d87a37388435fa1e7138a94e9636f5c0eba4	CIC_W	0611	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	NOT_APPROVED
337	58a62e550227664802cb2c833d4d675fed3768f2a3b34d929c070a154184d439	CIC_W	0711	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	NOT_APPROVED
338	8a4d575f9459bd01a20dfd7fb7016d5c249a2136a404993325d4b94e36e7fa64	CIC_W	0851	AMBIGUOUS	CLASSIFICATION	REJECT	EMPTY	NOT_APPROVED
339	2c91a7975e85f38c4c299862c9a17405227bff4c18df7f37cbf4c6264ceddf50	CIC_W	1111	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
340	cd682061fb0454a0cac16abec4eb89c50edbf8df58c0bce16602114898fb4b0a	CIC_W	1211	AMBIGUOUS	TASK	KEEP_AS_DISTINCT	EMPTY	NOT_APPROVED
